"date_utc","date_time_utc","usdtz_price"
2021-07-13,"2021-07-13 15:50:04",0.347354760303593
2021-07-13,"2021-07-13 16:00:04",0.350262636213021
2021-07-13,"2021-07-13 16:10:02",0.349484027028062
2021-07-13,"2021-07-13 16:20:04",0.349569741945981
2021-07-13,"2021-07-13 16:30:03",0.347461912595358
2021-07-13,"2021-07-13 16:40:03",0.347461795883095
2021-07-13,"2021-07-13 16:50:03",0.34630207492469
2021-07-13,"2021-07-13 17:00:04",0.347423561958829
2021-07-13,"2021-07-13 17:10:03",0.347423561958829
2021-07-13,"2021-07-13 17:20:03",0.347423561958829
2021-07-13,"2021-07-13 17:30:03",0.35061999098128
2021-07-13,"2021-07-13 17:40:03",0.350636867061809
2021-07-13,"2021-07-13 17:50:03",0.353763539750004
2021-07-13,"2021-07-13 18:00:03",0.354152959448866
2021-07-13,"2021-07-13 18:10:03",0.354152959448866
2021-07-13,"2021-07-13 18:20:03",0.357751309373919
2021-07-13,"2021-07-13 18:30:03",0.358022997360029
2021-07-13,"2021-07-13 18:40:03",0.351840472815787
2021-07-13,"2021-07-13 18:50:03",0.360927355519695
2021-07-13,"2021-07-13 19:00:03",0.360685836857154
2021-07-13,"2021-07-13 19:10:03",0.361802782178569
2021-07-13,"2021-07-13 19:20:03",0.361802782178569
2021-07-13,"2021-07-13 19:30:03",0.361051014387951
2021-07-13,"2021-07-13 19:40:03",0.360558006353032
2021-07-13,"2021-07-13 19:50:03",0.359342853194613
2021-07-13,"2021-07-13 20:00:04",0.359342853194613
2021-07-13,"2021-07-13 20:10:03",0.35905672846461
2021-07-13,"2021-07-13 20:20:03",0.35905672846461
2021-07-13,"2021-07-13 20:30:03",0.362989138313653
2021-07-13,"2021-07-13 20:40:03",0.362735471099095
2021-07-13,"2021-07-13 20:50:03",0.364901446902858
2021-07-13,"2021-07-13 21:00:04",0.364901446902858
2021-07-13,"2021-07-13 21:10:02",0.364967414441807
2021-07-13,"2021-07-13 21:20:03",0.364071310580464
2021-07-13,"2021-07-13 21:30:03",0.365631645847104
2021-07-13,"2021-07-13 21:40:03",0.364384072996683
2021-07-13,"2021-07-13 21:50:03",0.364384072996683
2021-07-13,"2021-07-13 22:00:04",0.364318273576576
2021-07-13,"2021-07-13 22:10:02",0.364318273576576
