"blockNumber","buyer","category","createdAt","nftAddress","price","status","txHash","price_mana","nft_image","nft_owner_address","nft_owner_mana","parcel_x_coordinate","parcel_y_coordinate","estate_size","date_time_utc","date"
"13269451","0x36b15b28d574b9365e345736bb96d67b3442dbf4","estate","1632152111","0x959e104e1a4db6317fa58f8295f586e1a978c297","15888000000000000000000","sold","0x1604d0fea90dd0e8ed09e23299afc0d9797f94e4956d14a70f892264c7cb4c8e",15888,"https://api.decentraland.org/v1/estates/3469/map.png","0x36b15b28d574b9365e345736bb96d67b3442dbf4","0",NA,NA,2,"2021-09-21 23:50:06",2021-09-21
"13258202",NA,"parcel","1632081565","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","4997000000000000000000","cancelled","0x6811f8c9adc014911d0e93680d03b177509917bcb7b116476bba1738b2f91fdd",4997,"https://api.decentraland.org/v1/parcels/-18/-150/map.png","0x6e63a4caeccb4f341ee9c9175c9cc554bdb6d10b","0","-18","-150",NA,"2021-09-21 23:50:06",2021-09-21
"13257332",NA,"estate","1632070229","0x959e104e1a4db6317fa58f8295f586e1a978c297","16249000000000000000000","cancelled","0xb9e9a859669855b8696b49d8cdf06491fecd8faf4746eed0addc3b0fc4c3cda6",16249,"https://api.decentraland.org/v1/estates/3469/map.png","0x36b15b28d574b9365e345736bb96d67b3442dbf4","0",NA,NA,2,"2021-09-21 23:50:06",2021-09-21
"13268641","0xe04a99081a103cef18cdb5b95bb7deb726a3c642","parcel","1632067456","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","5768000000000000000000","sold","0xb8b9fab0916c12fcc4477266927863b0c1db9f04ad86c93c5e02007face5b256",5768,"https://api.decentraland.org/v1/parcels/7/-116/map.png","0xe04a99081a103cef18cdb5b95bb7deb726a3c642","0","7","-116",NA,"2021-09-21 23:50:06",2021-09-21
"13257054","0x5ce213893956bbf4249a7f8a079331280065eec6","parcel","1632066072","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","5170000000000000000000","sold","0x922264833223fef0b5741f4203c438976eeaf9c3e2d213d5c173646230896210",5170,"https://api.decentraland.org/v1/parcels/7/-116/map.png","0xe04a99081a103cef18cdb5b95bb7deb726a3c642","0","7","-116",NA,"2021-09-21 23:50:06",2021-09-21
"13252568",NA,"parcel","1632006202","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","5798000000000000000000","cancelled","0xe3b3f1e9ca3a7d8ebedb99fdccd29feca027e979a9c8d2b68108e2d5948978cf",5798,"https://api.decentraland.org/v1/parcels/11/-116/map.png","0x5b23e1bb152ae1f844da9ce15e068043ba10adc7","0","11","-116",NA,"2021-09-21 23:50:06",2021-09-21
"13250361",NA,"estate","1631977399","0x959e104e1a4db6317fa58f8295f586e1a978c297","16249000000000000000000","cancelled","0x6b785c2d527624e6cf2edc0adae76a9d4f069aa1208e808c49964c36be612200",16249,"https://api.decentraland.org/v1/estates/3469/map.png","0x36b15b28d574b9365e345736bb96d67b3442dbf4","0",NA,NA,2,"2021-09-21 23:50:06",2021-09-21
"13248786",NA,"parcel","1631956481","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","6450000000000000000000","cancelled","0x964e696e1b21b8e1ddfabdc3161a0133054bec1470b7c0e7bb96dbe7cbb33250",6450,"https://api.decentraland.org/v1/parcels/11/-116/map.png","0x5b23e1bb152ae1f844da9ce15e068043ba10adc7","0","11","-116",NA,"2021-09-21 23:50:06",2021-09-21
"13247164","0x0e281f9dc83a0916a869cebeece22e50c50e835c","parcel","1631925924","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","5160000000000000000000","sold","0xb28baf83e59875cbe6e5ce9ee24a11c59254c7dc8c14ef6b8f762659aa271f46",5160,"https://api.decentraland.org/v1/parcels/11/-116/map.png","0x5b23e1bb152ae1f844da9ce15e068043ba10adc7","0","11","-116",NA,"2021-09-21 23:50:06",2021-09-21
"13243944",NA,"estate","1631891295","0x959e104e1a4db6317fa58f8295f586e1a978c297","16249000000000000000000","cancelled","0xcc8b84b3bda3a900d2e6ed4c58f26feea654d0939864306a53934cc5db69342d",16249,"https://api.decentraland.org/v1/estates/3469/map.png","0x36b15b28d574b9365e345736bb96d67b3442dbf4","0",NA,NA,2,"2021-09-21 23:50:06",2021-09-21
